gbifID;species;countryCode;decimalLatitude;decimalLongitude
1895636521;Lontra longicaudis;MX;16.5;-94
1895636518;Lontra longicaudis;MX;20.551667;-103.205833
1895636517;Lontra longicaudis;MX;17.01990175;-99.64843763
1895636516;Lontra longicaudis;MX;20.195556;-104.344444
1895636515;Lontra longicaudis;MX;15.744444;-96.465278
1895636514;Lontra longicaudis;MX;16.963056;-99.663611
1895636513;Lontra longicaudis;MX;17.208611;-100.434167
1895636511;Lontra longicaudis;MX;19.035278;-89.038889
1895636510;Lontra longicaudis;MX;18.419444;-95.113611
1895636509;Lontra longicaudis;MX;28.07041156;-109.8192063
1895636508;Lontra longicaudis;MX;17.067778;-96.72
1895636507;Lontra longicaudis;MX;19.354722;-90.637222
1895636506;Lontra longicaudis;MX;18.155;-99.068611
1895636505;Lontra longicaudis;MX;28.74242;-108.7469
1895636504;Lontra longicaudis;MX;17.067778;-96.72
1895636502;Lontra longicaudis;MX;18.770278;-95.760556
1895636501;Lontra longicaudis;MX;22.835278;-105.776667
1895636500;Lontra longicaudis;MX;20.613333;-105.231111
1895636499;Lontra longicaudis;MX;16.963056;-99.380278
1895636498;Lontra longicaudis;MX;16.90839;-99.6256
1895636497;Lontra longicaudis;MX;;
1895636496;Lontra longicaudis;MX;;
1895636495;Lontra longicaudis;MX;15.866667;-97.075
1895636494;Lontra longicaudis;MX;;
1895636493;Lontra longicaudis;MX;19.940833;-105.248611
1895636491;Lontra longicaudis;MX;17.9825;-101.807222
1895636490;Lontra longicaudis;MX;15.7444;-96.4653
1895636489;Lontra longicaudis;MX;15.528333;-92.078611
1895636488;Lontra longicaudis;MX;16.332778;-95.238889
1895636487;Lontra longicaudis;MX;17.444444;-101.055
1895636486;Lontra longicaudis;MX;28.42606;-107.44314
1895636485;Lontra longicaudis;MX;23.45834;-104.3
1895636484;Lontra longicaudis;MX;16.14327032;-90.92506436
1895636483;Lontra longicaudis;MX;16.666667;-93.65
1895636482;Lontra longicaudis;MX;19.082778;-100.409444
1895636481;Lontra longicaudis;MX;16.501944;-94.433889
1895636480;Lontra longicaudis;MX;17.758056;-92.5925
1895636478;Lontra longicaudis;MX;21.970556;-99.537222
1895636477;Lontra longicaudis;MX;17.432778;-95.024444
1895636476;Lontra longicaudis;MX;17.208611;-100.434167
1895636475;Lontra longicaudis;MX;18.96;-99.923333
1895636474;Lontra longicaudis;MX;18.776389;-100.428056
1895636473;Lontra longicaudis;MX;18.18465853;-103.0076699
1895636472;Lontra longicaudis;MX;19.174167;-96.131944
1895636471;Lontra longicaudis;MX;;
1895636470;Lontra longicaudis;MX;18.038889;-102.541944
1895636469;Lontra longicaudis;MX;19.579444;-88.045278
1895636468;Lontra longicaudis;MX;;
1895636467;Lontra longicaudis;MX;16.143333;-98.048333
1895636465;Lontra longicaudis;MX;19.382222;-104.980833
1895636464;Lontra longicaudis;MX;17.698889;-92.865556
1895636463;Lontra longicaudis;MX;19.431944;-97.001111
1895636462;Lontra longicaudis;MX;18.770278;-96.043889
1895636461;Lontra longicaudis;MX;19.766111;-97.287778
1895636460;Lontra longicaudis;MX;20.504722;-97.667778
1895636459;Lontra longicaudis;MX;16.753333;-93.116667
1895636458;Lontra longicaudis;MX;;
1895636456;Lontra longicaudis;MX;19.383889;-104.968333
1895636455;Lontra longicaudis;MX;16.143333;-98.048333
1895636454;Lontra longicaudis;MX;20.43;-103.309444
1895636453;Lontra longicaudis;MX;30.495278;-107.117222
1895636452;Lontra longicaudis;MX;16.62333;-95.23917
1895636451;Lontra longicaudis;MX;17.718889;-101.601389
1895636450;Lontra longicaudis;MX;16.003333;-95.673889
1895636449;Lontra longicaudis;MX;15.951389;-96.494444
1895636448;Lontra longicaudis;MX;17.01990175;-99.64843763
1895636447;Lontra longicaudis;MX;22.01;-103.225556
1895636445;Lontra longicaudis;MX;19.691944;-104.078056
1895636444;Lontra longicaudis;MX;16.60973;-91.00982
1895636443;Lontra longicaudis;MX;15.786667;-96.586667
1895636442;Lontra longicaudis;MX;20.201667;-99.958333
1895636441;Lontra longicaudis;MX;20.620278;-102.747222
1895636440;Lontra longicaudis;MX;;
1895636439;Lontra longicaudis;MX;16.774167;-99.606111
1895636438;Lontra longicaudis;MX;17.509167;-91.982222
1895636437;Lontra longicaudis;MX;26.666944;-108.619722
1895636436;Lontra longicaudis;MX;18.318056;-102.934722
1895636435;Lontra longicaudis;MX;17.432778;-95.024444
1895636434;Lontra longicaudis;MX;28.631667;-106.071944
1895636433;Lontra longicaudis;MX;22.01;-103.225556
1895636432;Lontra longicaudis;MX;19.481111;-104.639167
1895636431;Lontra longicaudis;MX;15.915556;-92.173611
1895636430;Lontra longicaudis;MX;;
1895636429;Lontra longicaudis;MX;18.419444;-95.113611
1895636428;Lontra longicaudis;MX;17.438889;-97.671667
1895636427;Lontra longicaudis;MX;18.39111;-91.18944
